"Frecuencia,""Transaccionalidad"",""Ingresos"""
2,0.02,150
7,210.16,443.3
22,3267.57,1234.42
9,1386.92,799.85
2,19.76,0
15,888.94,544.64
9,695.08,904.4
1,0.02,2000
13,2663,1022.08
21,1157.87,583.45
10,1239.8,1436.78
2,100.31,0
1,0.02,0
2,1.93,900
12,1285.28,738.2
12,340.32,150
1,0.03,3920
29,15243.72,560.86
9,303.75,0
14,933,158
9,892,895
21,2176.66,842.52
12,1599.82,807.63
11,1946.03,1022.18
6,836.23,2100
21,3433.58,819.16
21,2245.71,0
11,1888.63,748
3,371.35,1504.73
32,4463.74,150
18,2895.36,0
20,3198.75,912.65
11,2175.69,819
27,2131.75,1062
9,268.51,158
6,496.82,331.46
2,19.71,0
1,0.02,150
21,2006.86,860.69
1,0.03,0
5,1513.6,904
6,248.48,198
15,5876.06,1334.42
7,604.21,1234.42
2,2.15,779.75
1,0.02,306
1,0.03,2300
30,1756.63,817.16
1,0.03,0
1,0.02,1700
22,2171.5,849.15
40,1168.33,1698.3
13,1853.86,954
42,1935.38,874.53
5,180.4,614.25
1,0.02,3000
6,265.53,158
26,1548.3,819.16
13,1517.69,258
25,1899.58,986.03
53,3742.66,963
33,6196.3,2023.59
17,1921.16,1488.37
9,2724.87,1214.43
8,2628.71,0
9,1217.23,766.44
1,0.02,976.55
7,1831.19,937.59
11,5341.76,150
4,404.64,4500
14,21219.47,1022.18
7,112.46,1419.37
3,820.58,1533.38
14,2316.3,800
5,312.39,644
21,2138.61,807.63
9,303.53,150
6,1410.58,158
1,0.02,150
2,195.2,2700
2,1.57,1200
1,0.02,340
9,406.15,1068.14
1,0.02,3188
16,1921.52,937.59
6,1081.25,0
22,2132.31,1297.45
9,286.68,180
2,1.04,1050
16,3184.1,830.77
13,2231.99,685.84
2,19.71,0
20,1228.14,577.59
29,3614.5,1013.61
9,260.4,180
16,1734.95,819.16
19,2692.36,962.65
12,8885.52,1405.02
2,0.05,451.82
1,0.02,2051.76
19,2102.19,860.69
20,1794.76,833.77
23,3120.98,1280
23,2222.07,1234.42
32,1740.95,819.16
4,305.34,756.65
29,2662.35,900
14,1462.43,686
17,1682.13,836
20,1792.81,1234
16,2176.8,1018
1,0.02,0
25,1922.88,819.16
8,6453.07,959.38
6,1048.87,907.3
5,272.24,1080
49,16943.48,2265
2,120.03,0
10,6506.39,1115.31
1,0.06,2499
12,3468.14,937
32,2887.51,874.53
19,9189.35,700.72
4,757.28,426
29,4249.29,1491.75
1,0.01,815
73,2941.34,1077
29,2257.97,0
26,2155.12,553.24
12,10393.55,1337.59
3,157.82,150
22,2061.57,890
44,3655.04,427.45
19,1687.76,849.15
28,1592.03,688.69
2,19.71,0
10,1556.39,816
2,95.41,641.04
27,1539.4,800
15,1434.68,819.16
50,3815.78,1703.89
13,324.77,1003.72
28,1669.54,1910
2,19.71,969
12,3986.01,1003.12
34,2319.92,920.67
3,292.84,1583
19,3395.08,1757.73
6,203.18,150
14,860.14,540.77
2,19.71,1000
4,1025.54,1300
18,8482.13,1696.87
30,2043.82,1003.72
2,245.06,3048
2,19.71,920
3,22.01,3100
4,224.05,150
11,1651.37,975.17
2,0.04,1022
3,742.75,295
1,0.13,1900
26,811.4,158
21,3689.16,954.51
7,275.25,1800
39,4544.7,0
32,3428.33,807.63
18,2944.16,158
23,5060.11,2641
14,2263.42,1050
2,19.71,0
53,4089.46,954.51
8,1835.37,1683.5
25,2252.58,1003.72
3,2901.56,1700
4,707.85,1000
1,0.02,515.66
14,1589.94,1812
24,1577.65,160
7,182.1,575.89
2,273.2,0
1,0.03,1700
9,1384.53,1844.63
1,0.02,900
27,31155.08,860.69
17,3680.8,1781.52
15,1436.94,1816.29
20,6431.21,1962.79
1,0.02,9587
2,0.04,626
4,524.63,937.59
3,201.15,500
15,514.83,1600
10,1383.7,467
5,927.55,156
17,3781.39,1441
25,5022.38,1300
35,5623.46,947.24
29,2189.68,1003.72
4,747.27,1320.8
6,278.24,158
12,5386.81,590.56
18,2273.08,1003.72
2,19.71,0
17,310.49,150
11,4653.06,3000
2,19.71,0
2,1.41,1885
10,1629.69,1110.61
5,99.98,0
