Cliente_ID,Frecuencia,Transaccionalidad,Ingresos,Indice_Cliente,Categoria_Indice,Cluster
1093,2.0,19.71,150.0,-0.4516143071142155,Muy Bajo,0
1094,20.0,2481.26,1619.14,0.14650768452570986,Muy Bajo,0
1095,28.0,2863.85,1096.0,0.3476482116230878,Muy Bajo,0
1096,18.0,1959.68,849.15,0.05351917860348102,Muy Bajo,0
1097,28.0,1833.33,1450.0,0.2955089732518507,Muy Bajo,0
1098,5.0,321.46,0.0,-0.36614719942980684,Muy Bajo,0
1099,1.0,0.03,1550.0,-0.4481759096465321,Muy Bajo,0
1100,17.0,9039.36,1228.0,0.44478843001381735,Muy Bajo,0
1101,14.0,1522.0,840.0,-0.06669587251898884,Muy Bajo,0
1102,13.0,4312.48,833.77,0.07001582437815318,Muy Bajo,0
1103,5.0,1123.5,2622.0,-0.26703240400589906,Muy Bajo,0
1104,28.0,1628.03,156.87,0.2575732919592721,Muy Bajo,0
1105,1.0,0.03,3063.31,-0.41760404574584287,Muy Bajo,0
1106,41.0,8353.78,1436.8,0.9786521953819158,Muy Bajo,0
1107,21.0,2219.37,926.9,0.14116737525748765,Muy Bajo,0
1108,22.0,1416.26,673.0,0.11354343034855481,Muy Bajo,0
1109,8.0,249.18,807.63,-0.28285379956579965,Muy Bajo,0
1110,10.0,6564.26,677.28,0.1252737952713246,Muy Bajo,0
1111,3.0,21.59,2040.0,-0.38961229739123643,Muy Bajo,0
1112,17.0,4108.94,800.0,0.15247135528812605,Muy Bajo,0
1113,2.0,1.87,0.0,-0.4556710251237005,Muy Bajo,0
1114,63.0,3309.74,1170.0,1.2047206734516904,Muy Bajo,0
1115,4.0,90.02,937.59,-0.3842339660573577,Muy Bajo,0
1116,7.0,1517.33,856.67,-0.23261245934406227,Muy Bajo,0
1117,1.0,10.85,930.0,-0.46007861320889737,Muy Bajo,0
1118,3.0,20.65,921.0,-0.412272399805203,Muy Bajo,0
1119,5.0,138.23,0.0,-0.37668929700975085,Muy Bajo,0
1120,6.0,135.33,0.0,-0.3531440526586214,Muy Bajo,0
1121,12.0,1575.65,743.57,-0.11298139932474384,Muy Bajo,0
1122,29.0,2638.06,1090.62,0.3582608423818675,Muy Bajo,0
1123,17.0,4096.4,1274.81,0.16134197302200845,Muy Bajo,0
1124,13.0,4658.52,1381.0,0.10098029086942956,Muy Bajo,0
