Cliente_ID,Frecuencia,Transaccionalidad,Ingresos,Cluster
507,22.0,1952.75,821.0,0
508,1.0,0.14,0.0,1
509,11.0,1644.48,807.63,2
510,19.0,1606.88,150.0,1
511,7.0,589.4,725.88,1
512,16.0,3898.0,595.13,0
514,1.0,0.02,354.0,1
515,1.0,0.02,1000.0,2
516,18.0,3230.29,1251.27,0
517,27.0,1453.14,861.0,0
518,4.0,979.7,1935.0,2
519,1.0,0.02,1570.0,2
520,1.0,0.12,1410.64,2
521,22.0,3224.45,1100.0,0
522,23.0,1890.59,2459.49,0
523,13.0,1913.11,874.53,0
524,2.0,171.55,1973.3,2
525,1.0,0.02,0.0,1
526,14.0,1529.27,849.15,0
528,10.0,1108.14,2520.0,2
529,9.0,564.84,325.58,1
531,8.0,2080.75,979.0,2
532,3.0,3353.61,2000.0,2
533,7.0,1286.03,815.32,2
534,1.0,0.02,1038.19,2
535,1.0,0.62,540.0,1
536,28.0,4379.07,656.67,0
537,16.0,2481.02,1212.53,0
538,15.0,379.46,150.0,1
539,7.0,265.41,1053.48,2
540,2.0,1.02,50.0,1
541,1.0,0.03,833.0,2
542,1.0,0.02,1200.0,2
543,15.0,1895.02,849.15,0
544,28.0,4624.08,1576.64,0
545,7.0,1250.3,867.76,2
546,3.0,90.47,0.0,1
548,13.0,1062.41,800.0,2
549,8.0,600.17,1782.04,2
551,11.0,235.3,1120.0,2
552,16.0,2076.62,1113.43,0
554,18.0,2703.65,1003.72,0
555,2.0,20.06,699.75,1
556,27.0,1689.82,657.39,0
557,9.0,381.92,330.0,1
558,8.0,5996.9,804.16,0
559,18.0,4054.61,833.77,0
560,2.0,1.02,70.0,1
561,5.0,1669.79,736.16,2
562,1.0,0.15,754.98,1
563,17.0,5134.3,693.43,0
564,7.0,528.89,1301.0,2
565,2.0,0.02,150.0,1
566,7.0,210.16,443.3,1
567,22.0,3267.57,1234.42,0
568,9.0,1386.92,799.85,2
569,2.0,19.76,0.0,1
570,15.0,888.94,544.64,1
571,9.0,695.08,904.4,2
572,1.0,0.02,2000.0,2
573,13.0,2663.0,1022.08,0
574,21.0,1157.87,583.45,0
575,10.0,1239.8,1436.78,2
576,2.0,100.31,0.0,1
577,1.0,0.02,0.0,1
578,2.0,1.93,900.0,2
579,12.0,1285.28,738.2,2
580,12.0,340.32,150.0,1
583,9.0,303.75,0.0,1
584,14.0,933.0,158.0,1
585,9.0,892.0,895.0,2
586,21.0,2176.66,842.52,0
587,12.0,1599.82,807.63,2
588,11.0,1946.03,1022.18,2
589,6.0,836.23,2100.0,2
590,21.0,3433.58,819.16,0
591,21.0,2245.71,0.0,0
592,11.0,1888.63,748.0,2
