Frecuencia,Transaccionalidad,Ingresos,Cluster
9.0,5460.49,2150.0,1
4.0,2.1,640.32,0
1.0,0.02,1412.0,0
29.0,1462.86,819.16,2
25.0,683.87,807.63,2
4.0,181.05,210.0,0
17.0,2981.87,1304.4,2
18.0,327.89,100.0,0
1.0,0.31,0.0,0
2.0,1.02,354.0,0
27.0,12272.09,833.77,2
15.0,397.68,158.0,0
13.0,1201.61,1800.0,1
1.0,0.02,723.45,0
2.0,0.04,3150.0,1
17.0,3513.3,819.0,2
8.0,265.91,537.87,0
25.0,3451.27,1449.0,2
6.0,218.98,178.0,0
3.0,607.63,1760.0,1
6.0,232.82,150.0,0
8.0,2695.09,727.0,0
29.0,8776.6,1022.18,2
32.0,1623.99,819.16,2
1.0,0.02,2700.0,1
22.0,44.97,1200.0,0
28.0,14387.91,1699.94,2
14.0,2981.88,3108.93,1
18.0,2021.88,2386.94,1
2.0,1.03,2156.0,1
19.0,2883.15,1800.0,1
42.0,5985.13,1854.76,2
1.0,0.02,0.0,0
34.0,18494.81,1022.03,2
40.0,3313.02,1268.0,2
14.0,1231.45,725.86,0
32.0,790.93,158.0,2
15.0,3835.7,2170.4,1
25.0,1659.36,158.0,2
24.0,2381.59,1212.0,2
13.0,1832.37,800.0,0
12.0,685.57,1200.0,0
9.0,307.45,971.35,0
24.0,2589.42,860.69,2
23.0,2143.68,0.0,0
1.0,0.02,1000.0,0
6.0,2001.44,2730.0,1
22.0,1853.42,954.51,2
11.0,1589.37,944.16,0
28.0,2246.15,986.03,2
5.0,237.54,158.0,0
3.0,561.74,0.0,0
14.0,1215.11,0.0,0
17.0,1173.4,454.66,0
29.0,4331.93,833.77,2
1.0,0.02,1000.0,0
2.0,50.04,1750.0,1
10.0,2017.02,653.33,0
11.0,1540.05,807.63,0
12.0,1903.93,880.0,0
24.0,3442.16,1623.63,2
3.0,61.96,632.77,0
16.0,1731.15,150.0,0
12.0,2016.54,935.0,0
29.0,1749.22,807.63,2
10.0,540.39,708.51,0
9.0,9350.4,178.0,2
15.0,1689.67,564.61,0
9.0,1166.27,915.88,0
7.0,445.12,1000.0,0
12.0,2647.17,860.69,0
1.0,0.03,0.0,0
15.0,1063.71,1122.0,0
2.0,0.04,0.0,0
12.0,2689.25,0.0,0
2.0,2.96,3199.89,1
1.0,0.02,965.15,0
1.0,0.15,0.0,0
7.0,1133.06,807.63,0
